Poshmark Inventory Report for @jenwm5
Inventory as of 05/19/2020
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info
07/17/2018,672,"",“United by Blue” rose organic campfire T/XS,Women,Tops,Tees - Short Sleeve,United by Blue,Pink,XS,N,13,"",$7.00,$16.00,""
07/24/2018,665,"","Free People purple, pink, white skirt/ small",Women,Skirts,Mini,Free People,"",S,N,8,"",$6.00,$18.00,""
07/27/2018,662,"",Francesca’s cornflower linen tank/ small,Women,Tops,Tank Tops,Francesca's Collections,Blue,S,N,12,"",$6.00,$14.00,""
07/31/2018,658,"",Loft halter dress. Navy. 2P,Women,Dresses,"",LOFT,Blue,2P,N,2,"",$6.00,$10.00,""
08/15/2018,643,"",Bongo BORA pewter mixed textile thong sandals/9,Women,Shoes,Sandals,BONGO,"Silver, Black",9,N,9,"",$5.00,$15.00,""
08/21/2018,637,"",Novara Packable Lightweight jacket purple/XS,Women,Jackets & Coats,"",Novara,"Purple, Pink",XS,N,2,"",$10.00,$26.00,""
08/22/2018,636,"",Rieker Antistress TEX boots 7.5/eu40,Men,Shoes,Boots,Rieker,Black,7.5,N,10,"",$6.00,$18.00,""
08/22/2018,636,"",Vintage Avanti gray suede & leather jacket/ small,Women,Jackets & Coats,"",Avanti,Gray,S,N,9,"",$16.00,$48.00,""
10/17/2018,580,"",7FAM CrossStitch Crystal A-Pocket Stretch Jeans/26,Women,Jeans,Boot Cut,7 For All Mankind,"",26,N,4,"",$8.00,$17.00,""
10/17/2018,580,"",Vineyard vines gray v-neck tshirt/ sm,Women,Tops,Tees - Short Sleeve,Vineyard Vines,Gray,S,N,9,"",$5.00,$12.00,""
10/25/2018,572,"",Nike Airmax black basketball shoes/Y6.5,Kids,Shoes,Sneakers,Nike,"Black, Orange",6.5BB,N,15,"",$9.00,$18.00,""
10/31/2018,566,"",The SAK cream vegan knit purse,Women,Bags,"",The Sak,Cream,OS,N,3,"",$8.00,$16.00,""
10/31/2018,566,"",Light blue New Balance fleece lined soft shell/ M,Women,Jackets & Coats,"",New Balance,Blue,M,N,7,"",$12.00,$19.00,""
11/11/2018,555,"",Waldlaufer Jasmine Henni Oxford /11,Women,Shoes,Sneakers,Waldlaufer,Tan,11,N,3,"",$5.00,$25.00,""
11/19/2018,547,"",Sam Edelman nude ORLY / 7,Women,Shoes,Heels,Sam Edelman,Tan,7,N,14,"",$13.00,$22.00,""
